%Cavity1 Size=	0,000000E+0	mm
%f	alpha	Re(R)	Im(R)	Re(Zs/Zo)	Im(Zs/Zo)
5,078125E+2	4,066203E-1	3,808094E-1	-6,695998E-1	4,888669E-1	-1,610078E+0
5,093750E+2	4,070881E-1	3,790000E-1	-6,702768E-1	4,875821E-1	-1,605623E+0
5,109375E+2	4,080162E-1	3,765654E-1	-6,709562E-1	4,863978E-1	-1,599699E+0
5,125000E+2	4,096743E-1	3,744088E-1	-6,709276E-1	4,868334E-1	-1,594584E+0
5,140625E+2	4,106736E-1	3,727058E-1	-6,711310E-1	4,866292E-1	-1,590518E+0
5,156250E+2	4,117345E-1	3,700754E-1	-6,717959E-1	4,854704E-1	-1,584210E+0
5,171875E+2	4,122509E-1	3,698204E-1	-6,715520E-1	4,860828E-1	-1,583647E+0
5,187500E+2	4,140577E-1	3,665700E-1	-6,719886E-1	4,855260E-1	-1,575954E+0
5,203125E+2	4,146140E-1	3,654953E-1	-6,721601E-1	4,852717E-1	-1,573417E+0
5,218750E+2	4,143589E-1	3,632525E-1	-6,735642E-1	4,822972E-1	-1,568003E+0
5,234375E+2	4,109402E-1	3,636126E-1	-6,759036E-1	4,768202E-1	-1,568523E+0
5,250000E+2	4,147378E-1	3,602580E-1	-6,748899E-1	4,796065E-1	-1,560897E+0
5,265625E+2	4,158922E-1	3,575643E-1	-6,754670E-1	4,785985E-1	-1,554622E+0
5,281250E+2	4,171074E-1	3,560783E-1	-6,753524E-1	4,790285E-1	-1,551222E+0
5,296875E+2	4,180849E-1	3,541178E-1	-6,756594E-1	4,785336E-1	-1,546699E+0
5,312500E+2	4,188813E-1	3,515767E-1	-6,763967E-1	4,771046E-1	-1,540828E+0
5,328125E+2	4,195680E-1	3,500912E-1	-6,766595E-1	4,766467E-1	-1,537427E+0
5,343750E+2	4,200541E-1	3,495996E-1	-6,765545E-1	4,769295E-1	-1,536320E+0
5,359375E+2	4,223129E-1	3,478429E-1	-6,757902E-1	4,788121E-1	-1,532402E+0
5,375000E+2	4,224898E-1	3,447815E-1	-6,772266E-1	4,758051E-1	-1,525376E+0
5,390625E+2	4,226388E-1	3,427559E-1	-6,781442E-1	4,738903E-1	-1,520759E+0
